Anzahl_der_Fahrzeuge,Wochentag_sin,Wochentag_cos,Wochenende,Feiertag,Niederschlag,Sonnenscheindauer,Lufttemperatur
371,-0.7818314824680299,0.6234898018587334,1,0,0.0,0.3028169014084507,0.4194373401534527
93,0.0,1.0,0,0,0.0,0.6690140845070423,0.4501278772378517
123,0.7818314824680298,0.6234898018587336,0,0,0.0,0.6126760563380281,0.5063938618925832
94,0.9749279121818236,-0.2225209339563143,0,0,0.03232533889468196,0.2887323943661972,0.5294117647058825
50,0.4338837391175582,-0.900968867902419,0,0,0.01981230448383733,0.1056338028169014,0.4552429667519182
59,-0.433883739117558,-0.9009688679024191,0,0,0.001042752867570386,0.06338028169014084,0.4578005115089514
402,-0.9749279121818236,-0.2225209339563146,1,0,0.04692387904066737,0.6971830985915494,0.48593350383631717
251,-0.7818314824680299,0.6234898018587334,1,0,0.118873826903024,0.1056338028169014,0.5319693094629157
48,0.0,1.0,0,0,0.08654848800834203,0.035211267605633804,0.5191815856777494
97,0.7818314824680298,0.6234898018587336,0,0,0.09697601668404589,0.11267605633802819,0.5728900255754477
45,0.9749279121818236,-0.2225209339563143,0,0,0.04796663190823775,0.09859154929577464,0.44501278772378516
46,0.4338837391175582,-0.900968867902419,0,0,0.08759124087591243,0.0,0.38107416879795397
233,-0.433883739117558,-0.9009688679024191,0,0,0.02815432742440042,0.6901408450704226,0.4245524296675192
57,-0.9749279121818236,-0.2225209339563146,1,0,0.09176225234619395,0.0,0.42710997442455245
252,-0.7818314824680299,0.6234898018587334,1,0,0.0,0.4647887323943662,0.40664961636828645
406,0.0,1.0,0,0,0.008342022940563087,0.33098591549295775,0.32480818414322254
107,0.7818314824680298,0.6234898018587336,0,0,0.0,0.823943661971831,0.36828644501278773
166,0.9749279121818236,-0.2225209339563143,0,0,0.0,0.823943661971831,0.46547314578005117
206,0.4338837391175582,-0.900968867902419,0,0,0.0,0.8309859154929579,0.5012787723785167
219,-0.433883739117558,-0.9009688679024191,0,0,0.0,0.8309859154929579,0.5933503836317136
221,-0.9749279121818236,-0.2225209339563146,1,0,0.001042752867570386,0.28169014084507044,0.6317135549872124
589,-0.7818314824680299,0.6234898018587334,1,0,0.0,0.8309859154929579,0.5984654731457801
142,0.0,1.0,0,0,0.0,0.7042253521126761,0.6138107416879796
154,0.7818314824680298,0.6234898018587336,0,0,0.0,0.852112676056338,0.6163682864450128
199,0.9749279121818236,-0.2225209339563143,0,0,0.0,0.852112676056338,0.639386189258312
189,0.4338837391175582,-0.900968867902419,0,0,0.01981230448383733,0.5070422535211268,0.6572890025575449
54,-0.433883739117558,-0.9009688679024191,0,0,0.2773722627737227,0.0,0.6547314578005116
148,-0.9749279121818236,-0.2225209339563146,1,0,0.001042752867570386,0.323943661971831,0.4987212276214834
573,-0.7818314824680299,0.6234898018587334,1,0,0.0,0.8661971830985916,0.4808184143222507
