Datum,Anzahl der Fahrzeuge,Wochentag_sin,Wochentag_cos,Wochenende,Niederschlag,Sonnenscheindauer,Lufttemperatur
2015-02-12,49,0.4338837391175582,-0.900968867902419,0,0.0,0.0,0.14322250639386191
2015-02-13,61,-0.433883739117558,-0.9009688679024191,0,0.0,0.35211267605633806,0.17391304347826092
2015-02-14,124,-0.9749279121818236,-0.2225209339563146,1,0.0,0.16901408450704225,0.21483375959079287
2015-02-15,115,-0.7818314824680299,0.6234898018587334,1,0.0,0.0,0.21483375959079287
2015-02-16,59,0.0,1.0,0,0.0,0.3380281690140845,0.24808184143222511
2015-02-17,51,0.7818314824680298,0.6234898018587336,0,0.0,0.0,0.23017902813299235
2015-02-18,51,0.9749279121818236,-0.2225209339563143,0,0.0,0.0,0.28644501278772383
2015-02-19,100,0.4338837391175582,-0.900968867902419,0,0.0,0.6408450704225352,0.2583120204603581
2015-02-20,109,-0.433883739117558,-0.9009688679024191,0,0.0,0.647887323943662,0.340153452685422
2015-02-21,132,-0.9749279121818236,-0.2225209339563146,1,0.05005213764337853,0.007042253521126762,0.37851662404092073
2015-02-22,199,-0.7818314824680299,0.6234898018587334,1,0.001042752867570386,0.147887323943662,0.31969309462915607
2015-02-23,38,0.0,1.0,0,0.04171011470281544,0.13380281690140844,0.29667519181585683
